Related article title	Journal	DOI	Data Descriptor title	Data Descriptor DOI	Data Descriptor year	Data Descriptor month
A Nonparametric Multivariate Multi-Index Drought Monitoring Framework	Journal of Hydrometeorology	10.1175/JHM-D-12-0160.1	Global integrated drought monitoring and prediction system	10.1038/sdata.2014.1	2014	3
Multivariate Standardized Drought Index: A parametric multi-index model	Advances in Water Resources	10.1016/j.advwatres.2013.03.009	Global integrated drought monitoring and prediction system	10.1038/sdata.2014.1	2014	3
Global trends and patterns of drought from space	Theoretical and Applied Climatology	10.1007/s00704-013-1019-5	Global integrated drought monitoring and prediction system	10.1038/sdata.2014.1	2014	3
Combined sequence-based and genetic mapping analysis of complex traits in outbred rats	Nature Genetics	10.1038/ng.2644	Genomes and phenomes of a population of outbred rats and its progenitors	10.1038/sdata.2014.11	2014	6
A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages	Nature Communications	10.1038/ncomms4230	Comprehensive RNA-Seq transcriptomic profiling across 11 organs, 4 ages, and 2 sexes of Fischer 344 rats	10.1038/sdata.2014.13	2014	6
A High-Throughput, Multiplex Cell Death Assay Using an RNAi Screening Approach	Cold Spring Harbor Protocols	10.1101/pdb.prot080267	Genome-wide functional genomic and transcriptomic analyses for genes regulating sensitivity to vorinostat	10.1038/sdata.2014.17	2014	7
A comprehensive assessment of RNA-seq accuracy, reproducibility and information content by the Sequencing Quality Control Consortium	Nature Biotechnology	10.1038/nbt.2957	Cross-platform ultradeep transcriptomic profiling of human reference RNA samples by RNA-Seq	10.1038/sdata.2014.20	2014	8
The concordance between RNA-seq and microarray data depends on chemical treatment and transcript abundance	Nature Biotechnology	10.1038/nbt.3001	Transcriptomic profiling of rat liver samples in a comprehensive study design by RNA-Seq	10.1038/sdata.2014.21	2014	8
Adaptin evolution in kinetoplastids and emergence of the variant surface glycoprotein coat in African trypanosomatids	Molecular Phylogenetics and Evolution	10.1016/j.ympev.2013.01.002	A draft genome for the African crocodilian trypanosome Trypanosoma grayi	10.1038/sdata.2014.24	2014	8
Continental-scale temperature variability during the past two millennia	Nature Geoscience	10.1038/ngeo1797	An extended Arctic proxy temperature database for the past 2,000 years	10.1038/sdata.2014.26	2014	8
Rapid Independent Trait Evolution despite a Strong Pleiotropic Genetic Correlation	The American Naturalist	10.1086/661907	Artificial selection on anther exsertion in wild radish, Raphanus raphanistrum	10.1038/sdata.2014.27	2014	9
Antarctic Bottom Water production by intense sea-ice formation in the Cape Darnley polynya	Nature Geoscience	10.1038/ngeo1738	A Southern Indian Ocean database of hydrographic profiles obtained with instrumented elephant seals	10.1038/sdata.2014.28	2014	9
ProteoWizard: open source software for rapid proteomics tools development	Bioinformatics	10.1093/bioinformatics/btn323	Metabolic differences in ripening of Solanum lycopersicum ‘Ailsa Craig’ and three monogenic mutants	10.1038/sdata.2014.29	2014	9
MassCascade: Visual Programming for LC-MS Data Processing in Metabolomics	Molecular Informatics	10.1002/minf.201400016	Metabolic differences in ripening of Solanum lycopersicum ‘Ailsa Craig’ and three monogenic mutants	10.1038/sdata.2014.29	2014	9
Host Regulatory Network Response to Infection with Highly Pathogenic H5N1 Avian Influenza Virus	Journal of Virology	10.1128/JVI.05792-11	A comprehensive collection of systems biology data characterizing the host response to viral infection	10.1038/sdata.2014.33	2014	10
Implication of Inflammatory Macrophages, Nuclear Receptors, and Interferon Regulatory Factors in Increased Virulence of Pandemic 2009 H1N1 Influenza A Virus after Host Adaptation	Journal of Virology	10.1128/JVI.00563-12	A comprehensive collection of systems biology data characterizing the host response to viral infection	10.1038/sdata.2014.33	2014	10
Cell Host Response to Infection with Novel Human Coronavirus EMC Predicts Potential Antivirals and Important Differences with SARS Coronavirus	mBio	10.1128/mBio.00165-13	A comprehensive collection of systems biology data characterizing the host response to viral infection	10.1038/sdata.2014.33	2014	10
Mechanisms of Severe Acute Respiratory Syndrome Coronavirus-Induced Acute Lung Injury	mBio	10.1128/mBio.00271-13	A comprehensive collection of systems biology data characterizing the host response to viral infection	10.1038/sdata.2014.33	2014	10
Specific mutations in H5N1 mainly impact the magnitude and velocity of the host response in mice	BMC Systems Biology	10.1186/1752-0509-7-69	A comprehensive collection of systems biology data characterizing the host response to viral infection	10.1038/sdata.2014.33	2014	10
Differential Host Response, Rather Than Early Viral Replication Efficiency, Correlates with Pathogenicity Caused by Influenza Viruses	PLoS ONE	10.1371/journal.pone.0074863	A comprehensive collection of systems biology data characterizing the host response to viral infection	10.1038/sdata.2014.33	2014	10
A Network Integration Approach to Predict Conserved Regulators Related to Pathogenicity of Influenza and SARS-CoV Respiratory Viruses	PLoS ONE	10.1371/journal.pone.0069374	A comprehensive collection of systems biology data characterizing the host response to viral infection	10.1038/sdata.2014.33	2014	10
Release of Severe Acute Respiratory Syndrome Coronavirus Nuclear Import Block Enhances Host Transcription in Human Lung Cells	Journal of Virology	10.1128/JVI.02520-12	A comprehensive collection of systems biology data characterizing the host response to viral infection	10.1038/sdata.2014.33	2014	10
Attenuation and Restoration of Severe Acute Respiratory Syndrome Coronavirus Mutant Lacking 2'-O-Methyltransferase Activity	Journal of Virology	10.1128/JVI.03571-13	A comprehensive collection of systems biology data characterizing the host response to viral infection	10.1038/sdata.2014.33	2014	10
Highly parallel identification of essential genes in cancer cells	Proceedings of the National Academy of Sciences	10.1073/pnas.0810485105	Parallel genome-scale loss of function screens in 216 cancer cell lines for the identification of context-specific genetic dependencies	10.1038/sdata.2014.35	2014	9
Essential Gene Profiles in Breast, Pancreatic, and Ovarian Cancer Cells	Cancer Discovery	10.1158/2159-8290.CD-11-0224	Parallel genome-scale loss of function screens in 216 cancer cell lines for the identification of context-specific genetic dependencies	10.1038/sdata.2014.35	2014	9
Systematic investigation of genetic vulnerabilities across cancer cell lines reveals lineage-specific dependencies in ovarian cancer	Proceedings of the National Academy of Sciences	10.1073/pnas.1109363108	Parallel genome-scale loss of function screens in 216 cancer cell lines for the identification of context-specific genetic dependencies	10.1038/sdata.2014.35	2014	9
Global distribution maps of the leishmaniases	eLife	10.7554/eLife.02851	Global database of leishmaniasis occurrence locations, 1960–2012	10.1038/sdata.2014.36	2014	9
PCAF-dependent epigenetic changes promote axonal regeneration in the central nervous system	Nature Communications	10.1038/ncomms4527	DNA methylation temporal profiling following peripheral versus central nervous system axotomy	10.1038/sdata.2014.38	2014	11
The atypical mechanosensitive microRNA-712 derived from pre-ribosomal RNA induces endothelial inflammation and atherosclerosis	Nature Communications	10.1038/ncomms4000	Flow-dependent regulation of genome-wide mRNA and microRNA expression in endothelial cells in vivo	10.1038/sdata.2014.39	2014	10
Discovery of novel mechanosensitive genes in vivo using mouse carotid artery endothelium exposed to disturbed flow	Blood	10.1182/blood-2010-04-278192	Flow-dependent regulation of genome-wide mRNA and microRNA expression in endothelial cells in vivo	10.1038/sdata.2014.39	2014	10
The global distribution and burden of dengue	Nature	10.1038/nature12060	A global compendium of human dengue virus occurrence	10.1038/sdata.2014.4	2014	5
Unravelling the biodiversity of nanoscale signatures of spider silk fibres	Nature Communications	10.1038/ncomms4014	Scrutinizing the datasets obtained from nanoscale features of spider silk fibres	10.1038/sdata.2014.40	2014	10
Muscle Morphological and Strength Adaptations to Endurance Vs. Resistance Training	Journal of Strength and Conditioning Research	10.1519/JSC.0b013e318225a26f	Simplified data access on human skeletal muscle transcriptome responses to differentiated exercise	10.1038/sdata.2014.41	2014	11
Array Tomography: A New Tool for Imaging the Molecular Architecture and Ultrastructure of Neural Circuits	Neuron	10.1016/j.neuron.2007.06.014	Synaptic molecular imaging in spared and deprived columns of mouse barrel cortex with array tomography	10.1038/sdata.2014.46	2014	12
Array Tomography: High-Resolution Three-Dimensional Immunofluorescence	Cold Spring Harbor Protocols	10.1101/pdb.top89	Synaptic molecular imaging in spared and deprived columns of mouse barrel cortex with array tomography	10.1038/sdata.2014.46	2014	12
